PKABCODE,index_right,prop_name,prop_id,primary_commodity,projects,dev_stage,activ_status,commodities_list,state_province,latitude,longitude,mo_yr_source_d
3510,106,Tujuh Bukit,35904,Gold,Projects,Expansion,Active,"Gold,Silver,Copper,Molybdenum",Jawa Timur,-8.61903,114.04245,2022-09-01
3514,625,Pasuaran Smelter,86818,Lead,Facilities,Operating,Active,Lead,Jawa Timur,-7.58235,112.72057,2020-02-01
3525,431,Gresik Smelter,61496,Copper,Facilities,Expansion,Active,Copper,Jawa Timur,-7.18,112.66,2020-01-01
3525,456,Gresik Refinery,62660,Copper,Facilities,Operating,Active,Copper,Jawa Timur,-7.14105,112.63659,2020-01-01
3525,655,Gebe Industry Plant,89501,Nickel,Facilities,Preproduction,Active,"Nickel,Cobalt",Jawa Timur,-7.13219,112.61253,2022-01-01
3525,150,Pengulu,38957,Coal,Projects,Operating,Inactive,Coal,Jawa Timur,-6.92273,112.51817,2011-06-01
3578,626,Pasuaran Refinery,86819,Lead,Facilities,Operating,Active,Lead,Jawa Timur,-7.25348,112.68664,2020-02-01
3601,80,Cibaliung,31123,Gold,Projects,Operating,Active,"Gold,Silver",Banten,-6.75107,105.63384,2022-06-01
3602,17,Pt Diah Mesa Jaya,27527,Gold,Projects,Closed,Inactive,Gold,Banten,-6.86167,106.30361,1990-04-01
3602,11,Cikotok,27112,Gold,Projects,Closed,Inactive,"Gold,Silver",Banten,-6.74056,106.25,2017-02-01
3602,430,Cikate,61425,Zinc,Projects,Advanced Exploration,Inactive,"Zinc,Lead",Banten,-6.735,106.21,2009-12-01
3602,406,Gunung Julang,59932,Gold,Projects,Exploration,Inactive,"Gold,Silver",Banten,-6.638,106.406,2012-01-01
3603,630,Banten Tangerang Refinery,86824,Lead,Facilities,Operating,Active,Lead,Banten,-6.22084,106.57206,2020-02-01
3603,629,Banten Tangerang Smelter,86823,Lead,Facilities,Operating,Active,Lead,Banten,-6.22083,106.57208,2020-02-01
3604,650,Cahaya Modern Plant,89487,Nickel,Facilities,Operating,Active,Nickel,Banten,-6.20878,106.32649,2021-01-01
3604,641,IMP Minerals Smelter,89417,Zinc,Facilities,Feasibility,Active,Zinc,Banten,-6.20068,106.31236,
3604,596,Century Metalindo Smelter,85772,Nickel,Facilities,Operating,Active,Nickel,Banten,-6.18316,106.31049,2020-09-01
3604,412,Cikoleang,60108,Gold,Projects,Feasibility,Inactive,Gold,Banten,-6.08,106.28,2010-06-01
3672,597,Indoferro Smelter,85773,Nickel,Facilities,Operating,Active,Nickel,Banten,-6.02991,105.95368,2020-09-01
5201,94,West Lombok,33714,Gold,Projects,Feasibility Started,On Hold Awaiting Financing,"Gold,Copper,Silver",Nusa Tenggara Barat,-8.78556,115.95083,2018-07-01
5204,125,East Elang,38037,Copper,Projects,Exploration,Active,"Copper,Gold",Nusa Tenggara Barat,-8.95583,117.45472,2016-05-01
5204,587,Medco Smelter,85530,Copper,Facilities,Feasibility,Active,Copper,Nusa Tenggara Barat,-8.81673,117.5077,2020-09-01
5204,126,Sabalong,38038,Gold,Projects,Exploration,Inactive,"Gold,Silver,Copper",Nusa Tenggara Barat,-8.74778,117.515,2012-10-01
5204,592,Medco Refinery,85681,Copper,Facilities,Feasibility,Active,Copper,Nusa Tenggara Barat,-8.97901,116.81514,2020-09-01
5204,25,Batu Hijau,28386,Copper,Projects,Operating,Active,"Copper,Gold,Silver",Nusa Tenggara Barat,-8.96528,116.8725,2020-05-01
5204,139,Elang-Dodo,38642,Gold,Projects,Reserves Development,Active,"Gold,Copper,Silver",Nusa Tenggara Barat,-8.965,117.377,2016-02-01
5204,96,West Sumbawa,34180,Gold,Projects,Limited Production,Active,"Gold,Silver",Nusa Tenggara Barat,-8.73117,116.84339,2018-10-01
5205,582,Onto,84636,Copper,Projects,Prefeas/Scoping,Active,"Copper,Gold,Silver",Nusa Tenggara Barat,-8.84767,118.43577,2020-01-01
5206,105,Bima,35778,Gold,Projects,Target Outline,Inactive,"Gold,Silver",Nusa Tenggara Barat,-8.61069,119.0227,2012-01-01
5302,115,Sumba,36809,Gold,Projects,Exploration,Inactive,"Gold,Copper,Silver",Nusa Tenggara Timur,-10.10889,120.29861,2018-03-01
5303,459,Kupang Smelter,62803,Manganese,Facilities,Construction Started,Care And Maintenance,"Manganese,Ferromanganese",Nusa Tenggara Timur,-10.23727,123.49092,2021-07-01
5303,486,Kupang,65481,Manganese,Projects,Operating,Active,Manganese,Nusa Tenggara Timur,-10.207,123.781,2015-04-01
5304,500,West Timor,66280,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.926,124.259,2013-02-01
5304,469,West Timor,63745,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.67897,124.3464,2012-09-01
5305,476,Fatunisuan,64354,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.58,124.35,2013-09-01
5305,477,Nansean,64355,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.54,124.66,2013-09-01
5305,464,Tasinifu,63208,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.411,124.252,2011-08-01
5305,478,T’eba Biboki,64356,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.38,124.74,2013-09-01
5305,506,West Timor,66825,Manganese,Projects,Operating,Inactive,Manganese,Nusa Tenggara Timur,-9.29,124.52,2014-10-01
5305,502,Belu,66376,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.13,124.747,2013-04-01
5306,475,Tniumanu,64353,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.42,124.8,2013-09-01
5306,435,Belu,61845,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-9.095,125.132,2013-10-01
5306,523,West Timor,67975,Copper,Projects,Grassroots,Inactive,Copper,Nusa Tenggara Timur,-9.03,124.92,2014-03-01
5306,462,West Timor Smelter,63015,Ferromanganese,Facilities,Feasibility Started,Active,"Ferromanganese,Manganese",Nusa Tenggara Timur,-8.99,124.89,2015-06-01
5313,499,Flores,66279,Manganese,Projects,Grassroots,Inactive,"Manganese,Silver,Copper,Zinc,Gold,Lead",Nusa Tenggara Timur,-8.45,120.84,2013-02-01
5313,422,Flores Island,60872,Gold,Projects,Grassroots,Inactive,"Gold,Copper,Manganese,Lead,Zinc",Nusa Tenggara Timur,-8.408,120.776,2010-10-01
5313,394,Manggarai,58170,Manganese,Projects,Grassroots,Inactive,Manganese,Nusa Tenggara Timur,-8.35,120.72,2008-12-01
5313,428,Lemarang,61412,Manganese,Projects,Operating,Inactive,Manganese,Nusa Tenggara Timur,-8.298,120.511,2010-10-01
5371,490,Big George West Timor,65914,Manganese,Projects,Feasibility,Inactive,Manganese,Nusa Tenggara Timur,-10.23,123.63,2012-07-01
5371,572,Putra Indonesia Jaya,83602,Manganese,Projects,Preproduction,Care And Maintenance,Manganese,Nusa Tenggara Timur,-10.20219,123.55099,2020-08-01
8101,353,Kali Kuning,52932,Gold,Projects,,Inactive,Gold,Maluku,-7.70909,126.32735,1994-05-01
8101,10,Wetar,27065,Copper,Projects,Operating,Active,"Copper,Gold,Silver,Zinc,Limestone,Lead,Iron Ore",Maluku,-7.70694,126.32466,2022-09-01
8101,637,Wetar Refinery,89023,Copper,Facilities,Operating,Active,Copper,Maluku,-7.70306,126.33097,2022-01-01
8101,114,Romang Island,36702,Gold,Projects,Feasibility,Active,"Gold,Copper,Zinc,Lead,Silver,Manganese",Maluku,-7.625,127.34306,2014-10-01
8103,76,Haruku Island,30952,Zinc,Projects,Target Outline,Inactive,"Zinc,Lead,Copper",Maluku,-3.55853,128.46547,2004-05-01
8103,662,PT Integra Plant,89514,Nickel,Facilities,Operating,Inactive,Nickel,Maluku,-3.25402,130.14349,2022-01-01
8103,623,Huake Smelter,85970,Nickel,Facilities,Feasibility Complete,Active,Nickel,Maluku,-3.16712,129.85718,2021-01-01
8201,386,Obi Island,57440,Nickel,Projects,Grassroots,Inactive,"Nickel,Iron Ore,Cobalt",Maluku Utara,-1.62,127.71,2009-06-01
